1.5,0,"[0.00271]","[0.0339]","[1]",1,1
1.5,1,"[0.00507]","[]","[]",1,0
1.5,2,"[]","[0.0214]","[0]",0,1
1.5,3,"[]","[0.02573]","[0]",0,1
1.5,4,"[0.00224]","[]","[]",1,0
1.5,5,"[0.00769]","[]","[]",1,0
1.5,6,"[]","[0.04044]","[0]",0,1
1.5,7,"[]","[0.03499]","[0]",0,1
1.5,8,"[0.0059]","[]","[]",1,0
1.5,9,"[]","[0.028]","[0]",0,1
1.5,10,"[0.00134, 0.00654]","[]","[]",2,0
1.5,11,"[0.00558]","[]","[]",1,0
1.5,12,"[]","[0.03789]","[0]",0,1
1.5,13,"[]","[0.04587]","[0]",0,1
1.5,14,"[]","[0.03388]","[0]",0,1
1.5,15,"[0.00427]","[]","[]",1,0
1.5,16,"[]","[0.02739]","[0]",0,1
1.5,17,"[]","[0.02474]","[0]",0,1
1.5,18,"[]","[0.03437]","[0]",0,1
1.5,19,"[]","[0.04837]","[0]",0,1
1.5,20,"[]","[0.05663]","[0]",0,1
1.5,21,"[]","[0.03725]","[0]",0,1
1.5,22,"[]","[0.02391]","[0]",0,1
1.5,23,"[]","[0.0309]","[0]",0,1
1.5,24,"[]","[0.02325]","[0]",0,1
1.5,25,"[]","[0.03298]","[0]",0,1
1.5,26,"[]","[0.0274]","[0]",0,1
1.5,27,"[0.00949]","[]","[]",1,0
1.5,28,"[]","[]","[]",0,0
1.5,29,"[]","[0.02021]","[0]",0,1
1.5,30,"[]","[0.0492]","[0]",0,1
1.5,31,"[]","[0.02881]","[0]",0,1
1.5,32,"[]","[0.02765]","[0]",0,1
1.5,33,"[]","[0.03027]","[0]",0,1
1.5,34,"[0.0096]","[]","[]",1,0
1.5,35,"[]","[]","[]",0,0
1.5,36,"[]","[0.03976]","[0]",0,1
1.5,37,"[]","[0.03312]","[0]",0,1
1.5,38,"[]","[0.02151]","[0]",0,1
1.5,39,"[]","[0.03895]","[0]",0,1
1.5,40,"[0.00742]","[]","[]",1,0
1.5,41,"[]","[0.04985]","[0]",0,1
1.5,42,"[0.00946]","[]","[]",1,0
1.5,43,"[0.00481]","[]","[]",1,0
1.5,44,"[]","[0.03466]","[0]",0,1
1.5,45,"[]","[0.02024]","[0]",0,1
1.5,46,"[]","[0.03838]","[0]",0,1
1.5,47,"[]","[0.03287]","[0]",0,1
1.5,48,"[]","[0.0573]","[0]",0,1
1.5,49,"[]","[0.02477]","[0]",0,1

