2.5,0,"[0.00549]","[0.02604, 0.05591]","[0, 1]",1,2
2.5,1,"[0.0077, 0.00114, 0.00826]","[0.04826, 0.03489, 0.02501]","[1, 0, 1]",3,3
2.5,2,"[0.00602, 0.00058, 0.00829, 0.00302, 0.00783, 0.00124, 0.00145, 0.00448, 0.00279, 0.00716, 0.00324]","[0.08685, 0.06835, 0.08977, 0.02663, 0.02699, 0.03933, 0.05812, 0.02007, 0.0226, 0.02003, 0.02389, 0.06987, 0.02629, 0.02537, 0.03684]","[0, 0, 1, 0, 0, 2, 2, 2, 0, 0, 0, 1, 0, 0, 2]",11,15
2.5,3,"[0.00634, 0.00076, 0.00115, 0.00192, 0.00716, 0.00826, 0.00194, 0.00118, 0.00852, 0.00271, 0.00768, 0.00122, 0.00059, 0.00073, 0.00092, 0.00068, 0.00139, 0.00312, 0.00233, 0.001, 0.0063, 0.00204, 0.00475, 0.00053, 0.0035, 0.00563]","[0.04764, 0.0392, 0.10748, 0.04822, 0.02268, 0.05779, 0.05226, 0.04517, 0.02791, 0.07774, 0.03475, 0.07336, 0.0247, 0.02859, 0.02062, 0.02818, 0.0823, 0.02668, 0.0501, 0.02096, 0.03284, 0.03144, 0.02998, 0.02171]","[1, 1, 2, 0, 0, 0, 0, 1, 0, 4, 0, 0, 2, 1, 1, 0, 2, 2, 1, 0, 3, 0, 2, 3]",26,24
2.5,4,"[0.00398, 0.00602, 0.00058, 0.00829, 0.00302, 0.00783, 0.00124, 0.00145, 0.00448, 0.00279, 0.00716, 0.00324]","[0.07406, 0.05771, 0.02265, 0.06211, 0.06835, 0.08977, 0.02663, 0.02699, 0.03933, 0.05812, 0.02007, 0.0226, 0.02003, 0.02389, 0.06987, 0.02629, 0.02537, 0.03684]","[1, 0, 0, 0, 0, 1, 0, 0, 2, 2, 2, 0, 0, 0, 1, 0, 0, 2]",12,18
2.5,5,"[]","[0.02711, 0.03884]","[0, 0]",0,2
2.5,6,"[0.00521, 0.00971]","[0.02297, 0.03351, 0.04666]","[1, 0, 1]",2,3
2.5,7,"[0.00449, 0.00556, 0.00154, 0.0048, 0.0091, 0.0079, 0.00262, 0.00686, 0.00047, 0.00077, 0.00164, 0.00388]","[0.05901, 0.03701, 0.07998, 0.0394, 0.02867, 0.07804, 0.02728, 0.04804, 0.04786, 0.04066, 0.05423, 0.02076, 0.02749, 0.13881, 0.04636, 0.03856, 0.02061]","[1, 1, 2, 0, 2, 1, 2, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",12,17
2.5,8,"[0.00182, 0.00146, 0.00576, 0.00772, 0.0086, 0.00865, 0.00118, 0.00161, 0.00438, 0.00695, 0.00673, 0.00507, 0.00586, 0.00356, 0.00659]","[0.02362, 0.02479, 0.02355, 0.03239, 0.03242, 0.03092, 0.062, 0.03884, 0.02263, 0.02507, 0.05109, 0.07497, 0.0605, 0.05431, 0.02919, 0.06678]","[1, 0, 0, 1, 3, 2, 1, 0, 0, 0, 0, 1, 1, 3, 0, 1]",15,16
2.5,9,"[0.00072]","[0.02897, 0.04636, 0.0216, 0.02621]","[0, 0, 0, 1]",1,4
2.5,10,"[0.00602, 0.00058, 0.00829, 0.00302, 0.00783, 0.00124, 0.00145, 0.00448, 0.00279, 0.00716, 0.00324]","[0.0275, 0.06835, 0.08977, 0.02663, 0.02699, 0.03933, 0.05812, 0.02007, 0.0226, 0.02003, 0.02389, 0.06987, 0.02629, 0.02537, 0.03684]","[0, 0, 1, 0, 0, 2, 2, 2, 0, 0, 0, 1, 0, 0, 2]",11,15
