2.5,0,"[0.00931, 0.00548, 0.00076]","[0.04762, 0.03211]","[2, 1]",3,2
2.5,1,"[0.00741, 0.0042, 0.0045, 0.00551, 0.0052, 0.00412, 0.00426, 0.00107, 0.00268, 0.00368]","[0.10197, 0.02142, 0.14369, 0.03684, 0.03733, 0.04602, 0.09453, 0.02542, 0.0412, 0.06275]","[3, 0, 3, 1, 0, 2, 1, 0, 0, 0]",10,10
2.5,2,"[]","[0.06455, 0.02998, 0.02932, 0.04488]","[0, 0, 0, 0]",0,4
2.5,3,"[0.00972, 0.00344, 0.00741, 0.00065, 0.00208]","[0.03148, 0.02741, 0.07997, 0.03274, 0.08219, 0.02666, 0.02894]","[0, 0, 3, 0, 0, 0, 2]",5,7
2.5,4,"[0.00712, 0.00093, 0.00117, 0.00605, 0.0072, 0.00329, 0.00531, 0.00087, 0.00084, 0.00987, 0.00075]","[0.03422, 0.03227, 0.0873, 0.04582, 0.06032, 0.02361, 0.03115, 0.09854]","[0, 0, 4, 1, 3, 1, 1, 1]",11,8
2.5,5,"[0.00666, 0.00606, 0.00192]","[0.03093, 0.03405, 0.02142]","[0, 1, 2]",3,3
2.5,6,"[0.00113]","[0.04938, 0.06747, 0.02034]","[0, 1, 0]",1,3
2.5,7,"[0.00972, 0.00344, 0.00741, 0.00625]","[0.03038, 0.02666, 0.08219, 0.03274, 0.08304, 0.02741, 0.06778, 0.04752]","[0, 0, 0, 0, 0, 0, 3, 1]",4,8
2.5,8,"[0.00344, 0.00073, 0.00157, 0.00156, 0.0027, 0.00061, 0.0084, 0.00977, 0.00167, 0.00753]","[0.09209, 0.07036, 0.03862, 0.02547, 0.19994, 0.02123, 0.02475]","[0, 1, 2, 0, 2, 0, 5]",10,7
2.5,9,"[0.00991, 0.00841, 0.00174, 0.00961, 0.00244, 0.00121, 0.0049, 0.00528, 0.00179]","[0.0487, 0.02328]","[2, 0]",9,2
2.5,10,"[0.00033, 0.00452, 0.00858, 0.00445, 0.00222]","[0.02013, 0.03831, 0.06733, 0.02371]","[1, 2, 2, 0]",5,4
2.5,11,"[0.00257, 0.00826, 0.0015, 0.00122, 0.00769]","[0.02967, 0.0678, 0.03188, 0.03311, 0.02152, 0.02153, 0.04707]","[0, 0, 0, 1, 2, 1, 1]",5,7
2.5,12,"[0.00344, 0.00073, 0.00157, 0.00156, 0.0027, 0.00061, 0.0084, 0.00977, 0.00167, 0.00753]","[0.08716, 0.07036, 0.03862, 0.02547, 0.19994, 0.02123, 0.02475]","[0, 1, 2, 0, 2, 0, 5]",10,7
2.5,13,"[0.00247, 0.00181, 0.00338, 0.00029, 0.00164, 0.00097, 0.0032, 0.00537, 0.00543, 0.00277]","[0.0337, 0.04013, 0.08962, 0.05036, 0.03013, 0.02808]","[3, 4, 1, 1, 0, 1]",10,6
2.5,14,"[0.0028, 0.00132, 0.00543, 0.00029, 0.00164, 0.00097, 0.0032, 0.00092, 0.00387, 0.00537]","[0.03085, 0.06575, 0.14165, 0.05036, 0.05526, 0.03123, 0.02907, 0.06785]","[0, 1, 1, 1, 0, 4, 2, 1]",10,8
2.5,15,"[0.00132, 0.0028, 0.00388, 0.00543, 0.00029, 0.00164, 0.00097, 0.0032, 0.00092, 0.00387, 0.00537]","[0.05496, 0.06575, 0.10716, 0.05036, 0.05526, 0.03123, 0.02907, 0.06785]","[0, 1, 2, 1, 0, 4, 2, 1]",11,8
2.5,16,"[0.00298, 0.0097, 0.00111, 0.00472, 0.00687, 0.00972, 0.00344, 0.00741, 0.00625]","[0.02945, 0.07358, 0.02666, 0.08219, 0.03274, 0.08304, 0.02741, 0.06778, 0.04752]","[2, 3, 0, 0, 0, 0, 0, 3, 1]",9,9
2.5,17,"[0.00987, 0.00085, 0.0035]","[0.02421, 0.04753, 0.02261]","[2, 1, 0]",3,3
2.5,18,"[0.00614, 0.00257, 0.00826, 0.0015, 0.00122, 0.00769]","[0.06555, 0.03188, 0.03311, 0.02152, 0.02153, 0.04707]","[1, 0, 1, 2, 1, 1]",6,6
