2.5,0,"[0.00822, 0.00139, 0.002, 0.00271]","[0.03816, 0.1053]","[2, 2]",4,2
2.5,1,"[0.00093, 0.00129]","[0.03862, 0.09098, 0.04872]","[0, 1, 1]",2,3
2.5,2,"[0.00072, 0.00801, 0.0052, 0.00368, 0.00126, 0.00287, 0.00231, 0.00032, 0.00284, 0.00143, 0.00145]","[0.03473, 0.03832, 0.09582, 0.04315, 0.02709, 0.0309, 0.05808, 0.05692, 0.07405, 0.05577]","[1, 0, 0, 0, 2, 2, 2, 1, 0, 1]",11,10
2.5,3,"[0.00226, 0.00466, 0.00711, 0.00377]","[0.02083, 0.0264, 0.02555, 0.02116]","[0, 1, 2, 1]",4,4
2.5,4,"[0.00101, 0.00163, 0.0005, 0.00232, 0.00039, 0.0065]","[0.02437, 0.02002, 0.02913, 0.02614, 0.02232, 0.06209, 0.02008]","[0, 1, 1, 1, 1, 2, 0]",6,7
2.5,5,"[0.00922, 0.00229, 0.00083]","[0.04502, 0.06259]","[2, 1]",3,2
2.5,6,"[0.00017, 0.00208, 0.00664, 0.00513, 0.00452, 0.00715]","[0.02235, 0.04009, 0.04726, 0.02688, 0.0257, 0.04368]","[0, 1, 0, 0, 0, 3]",6,6
2.5,7,"[0.00282, 0.00627, 0.00703, 0.00093, 0.00165, 0.00274]","[0.0223, 0.02894, 0.03275, 0.03517, 0.04242, 0.06791, 0.02506]","[0, 0, 1, 2, 1, 1, 1]",6,7
2.5,8,"[0.00012, 0.00022, 0.00851, 0.00576, 0.00284, 0.00143, 0.00145, 0.00408, 0.00433]","[0.08078, 0.05577, 0.0752, 0.02191, 0.03029]","[4, 1, 2, 1, 1]",9,5
2.5,9,"[0.00549, 0.00154, 0.00091]","[0.03704, 0.02097, 0.04912]","[2, 0, 1]",3,3
2.5,10,"[0.00801, 0.0052, 0.00368, 0.00126, 0.00287, 0.00231, 0.00032, 0.00284, 0.00143, 0.00145, 0.00408, 0.00433]","[0.05864, 0.04315, 0.02709, 0.0309, 0.05808, 0.05692, 0.07405, 0.05577, 0.0752, 0.02191, 0.03029]","[0, 0, 2, 2, 2, 1, 0, 1, 2, 1, 1]",12,11
2.5,11,"[0.00188, 0.00433, 0.00408, 0.00687]","[0.04595, 0.02045]","[1, 1]",4,2
2.5,12,"[0.00178, 0.00086, 0.00035, 0.00508, 0.00327, 0.00904, 0.00703]","[0.0265, 0.07497, 0.0231, 0.06178, 0.05829]","[1, 1, 1, 2, 1]",7,5
2.5,13,"[0.00067, 0.00412, 0.00521]","[0.07448, 0.08208, 0.04688, 0.03946, 0.02216]","[0, 0, 0, 2, 1]",3,5
2.5,14,"[0.0036, 0.00054, 0.00395, 0.0011, 0.0074]","[0.02523, 0.03923, 0.03214, 0.03476]","[1, 0, 1, 3]",5,4
2.5,15,"[0.00035, 0.00508, 0.00327, 0.00904, 0.00703]","[0.02543, 0.0231, 0.06178, 0.05829]","[0, 1, 2, 1]",5,4
2.5,16,"[0.00337]","[0.03724, 0.02211, 0.02701]","[1, 0, 0]",1,3
2.5,17,"[0.00043, 0.00801, 0.0052, 0.00368, 0.00126, 0.00287, 0.00231, 0.00032, 0.00284, 0.00143, 0.00145, 0.00408, 0.00433]","[0.05513, 0.04315, 0.02709, 0.0309, 0.05808, 0.05692, 0.07405, 0.05577, 0.0752, 0.02191, 0.03029]","[1, 0, 2, 2, 2, 1, 0, 1, 2, 1, 1]",13,11
2.5,18,"[0.00208, 0.00664, 0.00513, 0.00017, 0.00345, 0.00088, 0.00927, 0.0075, 0.00208, 0.00208]","[0.10397, 0.04726, 0.02846, 0.0257, 0.02943, 0.02942, 0.05893, 0.07991, 0.05814, 0.04018, 0.08416]","[0, 0, 0, 0, 3, 4, 0, 0, 1, 2, 0]",10,11
2.5,19,"[0.00155, 0.0008, 0.00279, 0.00543, 0.00067, 0.00412, 0.00521]","[0.04822, 0.02509, 0.1008, 0.04688, 0.03946, 0.09517, 0.03712]","[2, 1, 1, 0, 2, 1, 0]",7,7
2.5,20,"[0.00714, 0.00839, 0.00496, 0.00439, 0.00159, 0.00563, 0.00449, 0.00155, 0.00336, 0.00432, 0.00485, 0.00151, 0.00714]","[0.05359, 0.02281, 0.02627, 0.08151, 0.05816, 0.0264, 0.06034, 0.02765, 0.06042, 0.13089]","[3, 2, 2, 1, 1, 0, 2, 0, 1, 1]",13,10
2.5,21,"[0.00129]","[0.05651, 0.0623, 0.04872]","[0, 0, 1]",1,3
2.5,22,"[0.00829, 0.00067, 0.00279, 0.00543, 0.00155, 0.0008, 0.00259, 0.0045, 0.00955]","[0.05294, 0.1065, 0.04688, 0.08208, 0.11638, 0.02509, 0.02334, 0.03633, 0.06705]","[1, 0, 1, 0, 0, 1, 1, 3, 2]",9,9
2.5,23,"[0.00311, 0.00388, 0.00801, 0.0052, 0.00368, 0.00126, 0.00287, 0.00231, 0.00032, 0.00284, 0.00143, 0.00145, 0.00408, 0.00433]","[0.08323, 0.04315, 0.02709, 0.0309, 0.05808, 0.05692, 0.07405, 0.05577, 0.0752, 0.02191, 0.03029]","[2, 0, 2, 2, 2, 1, 0, 1, 2, 1, 1]",14,11
2.5,24,"[0.0075, 0.00208, 0.00208]","[0.02328, 0.05814, 0.04018, 0.08416]","[0, 1, 2, 0]",3,4
2.5,25,"[0.0017, 0.00239, 0.00208, 0.00664, 0.00513, 0.00017, 0.00345, 0.00088, 0.00927, 0.0075, 0.00208, 0.00208]","[0.05999, 0.09326, 0.04726, 0.02846, 0.0257, 0.02943, 0.02942, 0.10328, 0.05814, 0.04018, 0.08416]","[2, 0, 0, 0, 0, 3, 4, 0, 1, 2, 0]",12,11
2.5,26,"[0.00874, 0.00165, 0.00274]","[0.02258, 0.02222, 0.02009, 0.06948, 0.06791, 0.02506]","[0, 0, 0, 1, 1, 1]",3,6
2.5,27,"[0.00744, 0.00206, 0.00286, 0.00133, 0.00091, 0.00174, 0.00522, 0.00514, 0.00187, 0.00207]","[0.04746, 0.03494, 0.05649, 0.02006, 0.02247, 0.03421, 0.02295, 0.0243, 0.03273, 0.02864, 0.03046]","[1, 1, 2, 0, 1, 1, 0, 3, 0, 1, 0]",10,11
2.5,28,"[0.00121, 0.00816]","[0.03802, 0.11062]","[0, 2]",2,2
2.5,29,"[0.00073, 0.00158, 0.0008, 0.00377, 0.00664, 0.00434]","[0.02298, 0.02037, 0.02412, 0.02674]","[0, 3, 1, 0]",6,4
2.5,30,"[0.00845, 0.00432, 0.00485, 0.00151, 0.00439, 0.00159, 0.00563, 0.00179, 0.00565, 0.00282, 0.00627, 0.00703, 0.00093, 0.00165, 0.00274]","[0.05465, 0.0264, 0.06034, 0.02765, 0.06042, 0.10135, 0.02281, 0.02556, 0.02927, 0.03783, 0.06149, 0.02894, 0.03275, 0.03517, 0.04242, 0.06791, 0.02506]","[1, 0, 2, 0, 1, 0, 2, 1, 0, 1, 1, 0, 1, 2, 1, 1, 1]",15,17
2.5,31,"[0.00273, 0.0008, 0.00439, 0.00159, 0.00563, 0.00179, 0.00565, 0.00282, 0.00627, 0.00703, 0.00093, 0.00165, 0.00274]","[0.08132, 0.02281, 0.02556, 0.02927, 0.03783, 0.06149, 0.02894, 0.03275, 0.03517, 0.04242, 0.06791, 0.02506]","[2, 2, 1, 0, 1, 1, 0, 1, 2, 1, 1, 1]",13,12
