2.5,0,"[0.00824, 0.00118]","[0.03027, 0.02191]","[2, 0]",2,2
2.5,1,"[0.00227, 0.00766, 0.00127, 0.00681, 0.00123, 0.00723, 0.00441, 0.00197, 0.00046]","[0.02075, 0.03597, 0.12771, 0.03256, 0.02216, 0.09252, 0.02955]","[1, 0, 1, 2, 2, 0, 2]",9,7
2.5,2,"[0.00258, 0.00381, 0.00064, 0.00939, 0.0038, 0.00588]","[0.08126, 0.02642, 0.02445, 0.02242, 0.02915, 0.08897, 0.02455, 0.09361, 0.03517, 0.03484, 0.02054]","[0, 0, 1, 0, 1, 1, 0, 0, 2, 1, 0]",6,11
2.5,3,"[0.00943, 0.00061, 0.00663, 0.00116, 0.0008, 0.00158, 0.00525, 0.00222, 0.00439, 0.00665, 0.00226, 0.00667, 0.00142]","[0.02372, 0.09846, 0.02597, 0.04205, 0.02463, 0.02136, 0.11444, 0.02679]","[1, 0, 3, 4, 1, 3, 1, 0]",13,8
2.5,4,"[0.00944, 0.00386, 0.00745, 0.0067, 0.00815, 0.00261, 0.0011, 0.00896]","[0.03523, 0.02047, 0.03398, 0.05039, 0.0552]","[0, 2, 0, 1, 2]",8,5
2.5,5,"[0.00068, 0.00486, 0.00857, 0.00725, 0.00127, 0.0092, 0.002]","[0.04222, 0.08547, 0.02438, 0.02017, 0.02221, 0.13062, 0.05728, 0.03458]","[1, 0, 0, 0, 3, 0, 0, 3]",7,8
2.5,6,"[0.00258, 0.00381, 0.00064, 0.00968, 0.00726]","[0.03879, 0.02455, 0.09437, 0.02642, 0.02445, 0.02242, 0.02915, 0.04519]","[0, 0, 0, 0, 1, 0, 1, 2]",5,8
2.5,7,"[0.0071, 0.00296, 0.00371, 0.00987, 0.00079, 0.00723]","[0.03324, 0.02523, 0.04061]","[1, 2, 0]",6,3
2.5,8,"[0.00223, 0.0067, 0.00815, 0.00944, 0.00386, 0.00745, 0.00215]","[0.03283, 0.06596, 0.02047, 0.03398, 0.04407]","[1, 2, 2, 0, 1]",7,5
2.5,9,"[0.0076, 0.00386]","[0.02254, 0.0231, 0.02393, 0.06561, 0.02482]","[0, 1, 0, 0, 1]",2,5
2.5,10,"[0.00265]","[0.07569, 0.08032]","[0, 1]",1,2
2.5,11,"[0.00044, 0.00118, 0.0077, 0.00656, 0.00077, 0.00264, 0.00392, 0.00629, 0.00628, 0.00466, 0.00186, 0.00209, 0.00808, 0.00989, 0.002, 0.00222, 0.00441, 0.00197, 0.00127, 0.00681, 0.00123, 0.00723]","[0.03084, 0.02152, 0.02212, 0.0931, 0.05263, 0.10106, 0.02905, 0.0416, 0.02414, 0.02948, 0.09157, 0.07894, 0.03256, 0.02216, 0.0206]","[0, 1, 0, 2, 4, 1, 0, 1, 1, 6, 0, 2, 2, 2, 0]",22,15
2.5,12,"[0.00913, 0.00268, 0.00757, 0.00087, 0.00345, 0.00195]","[0.02764, 0.02339, 0.02686, 0.03505, 0.02107]","[1, 0, 0, 3, 2]",6,5
2.5,13,"[0.00082, 0.00512, 0.00176, 0.00803, 0.00158, 0.00724, 0.001, 0.0033, 0.00061, 0.00663, 0.00116]","[0.03716, 0.0242, 0.02397, 0.13471, 0.02597]","[1, 1, 4, 2, 3]",11,5
2.5,14,"[0.00142]","[0.05033, 0.0404, 0.02393]","[1, 0, 0]",1,3
2.5,15,"[]","[0.03869, 0.05523]","[0, 0]",0,2
2.5,16,"[0.00572]","[0.08148, 0.05917]","[0, 1]",1,2
2.5,17,"[0.00127, 0.0092, 0.002]","[0.02196, 0.03398, 0.05728, 0.03458]","[0, 0, 0, 3]",3,4
2.5,18,"[0.00617, 0.00732, 0.00115, 0.00365, 0.00392, 0.00107, 0.00214, 0.00267, 0.00502]","[0.02169, 0.03312, 0.03191, 0.02575, 0.05553, 0.04065, 0.02163]","[1, 0, 0, 1, 1, 2, 4]",9,7
2.5,19,"[0.00061, 0.00061, 0.00663, 0.00116, 0.0008, 0.00158, 0.00525, 0.00222, 0.00439, 0.00665, 0.00226, 0.00667, 0.00363, 0.004, 0.00202, 0.00128, 7e-05, 0.00266, 0.00537, 0.00335, 0.00113, 0.00835, 0.00311]","[0.07336, 0.09846, 0.02597, 0.04205, 0.02463, 0.0537, 0.02424, 0.02363, 0.04717, 0.05868, 0.05591, 0.06385]","[1, 0, 3, 4, 1, 3, 3, 1, 4, 1, 1, 1]",23,12
2.5,20,"[0.00107, 0.00221, 0.00266]","[0.02452, 0.03551, 0.02055, 0.05861, 0.03648, 0.02339]","[0, 0, 0, 1, 2, 0]",3,6
