2.5,0,"[]","[0.05067, 0.0374]","[0, 0]",0,2
2.5,1,"[0.00105, 0.00315, 0.00078, 0.00117, 0.00126, 0.00226, 0.00661, 0.00576, 0.00959]","[0.03912, 0.027, 0.04015, 0.11683, 0.05727, 0.05596, 0.05362, 0.07538, 0.03093, 0.02425, 0.02288, 0.03025, 0.07589]","[0, 0, 0, 2, 2, 0, 0, 0, 0, 1, 0, 0, 4]",9,13
2.5,2,"[0.00316, 0.00481, 0.00051, 0.00125, 0.00106, 0.00442, 0.00426, 0.00696, 0.00649]","[0.05762, 0.03774, 0.05674, 0.02706, 0.05742, 0.07891, 0.04421, 0.05299, 0.03221, 0.12724]","[0, 2, 2, 0, 3, 1, 0, 0, 1, 0]",9,10
2.5,3,"[0.00982, 0.00227, 0.00417, 0.00123]","[0.0314, 0.04893, 0.06989, 0.06362, 0.04812, 0.04904, 0.02866]","[0, 0, 0, 2, 0, 2, 0]",4,7
2.5,4,"[0.00177, 0.00546, 0.0019, 0.00112, 0.00199, 0.00061, 0.00369]","[0.05334, 0.07269, 0.02608, 0.0216, 0.10505]","[0, 2, 2, 1, 0]",7,5
2.5,5,"[0.00886, 0.00914, 0.00378, 0.00278, 0.00169, 0.00077, 0.00091, 0.0025, 0.00153, 0.00206, 0.00616, 0.00602, 0.00195, 0.00107, 0.00835, 0.00638, 0.00185, 0.0026, 0.0024, 0.00576, 0.00686]","[0.04446, 0.02417, 0.02031, 0.09011, 0.02349, 0.02098, 0.0295, 0.05423, 0.05832, 0.08539, 0.02765, 0.02376, 0.11529, 0.05096, 0.04978, 0.10158, 0.02686, 0.06246, 0.02562, 0.02236, 0.03932, 0.02849, 0.1082, 0.03737, 0.03753]","[0, 0, 1, 1, 1, 0, 0, 0, 2, 1, 0, 1, 3, 2, 1, 4, 0, 1, 0, 1, 1, 0, 0, 1, 0]",21,25
2.5,6,"[0.00125, 0.00573, 0.00085, 0.00413]","[0.02423, 0.09129, 0.02183]","[2, 1, 1]",4,3
2.5,7,"[0.00404, 0.00616, 0.00602, 0.00195, 0.00107, 0.00835, 0.00638, 0.00185, 0.0026, 0.0024, 0.00576, 0.00686]","[0.04837, 0.05096, 0.04978, 0.10158, 0.02686, 0.06246, 0.02562, 0.02236, 0.03932, 0.02849, 0.1082, 0.03737, 0.03753]","[1, 2, 1, 4, 0, 1, 0, 1, 1, 0, 0, 1, 0]",12,13
2.5,8,"[0.00242, 0.00528]","[0.03357, 0.02747, 0.06314]","[1, 1, 0]",2,3
2.5,9,"[0.00274, 0.00115, 0.00507, 0.00628, 0.00116, 0.00476]","[0.03432, 0.04404, 0.04703]","[2, 2, 2]",6,3
2.5,10,"[0.00064, 0.00107, 0.00835, 0.00638, 0.00195, 0.00616, 0.00602, 0.00581, 0.00732, 0.00178, 0.00686]","[0.07209, 0.04978, 0.05096, 0.02283, 0.13151, 0.03737, 0.03753]","[1, 3, 1, 2, 3, 1, 0]",11,7
2.5,11,"[0.00649]","[0.02736, 0.04421, 0.05299, 0.03221, 0.12724]","[0, 0, 0, 1, 0]",1,5
2.5,12,"[0.00431]","[0.07475, 0.04342]","[1, 0]",1,2
2.5,13,"[0.00886, 0.00914, 0.00378, 0.00278, 0.00169, 0.00077, 0.00091, 0.0025, 0.00153, 0.00206, 0.00616, 0.00602, 0.00195, 0.00107, 0.00835, 0.00638, 0.00185, 0.0026, 0.0024, 0.00576, 0.00686]","[0.07188, 0.02417, 0.02031, 0.09011, 0.02349, 0.02098, 0.0295, 0.05423, 0.05832, 0.08539, 0.02765, 0.02376, 0.11529, 0.05096, 0.04978, 0.10158, 0.02686, 0.06246, 0.02562, 0.02236, 0.03932, 0.02849, 0.1082, 0.03737, 0.03753]","[0, 0, 1, 1, 1, 0, 0, 0, 2, 1, 0, 1, 3, 2, 1, 4, 0, 1, 0, 1, 1, 0, 0, 1, 0]",21,25
2.5,14,"[0.00712, 0.0093, 0.0008, 0.00204, 0.00515, 0.00235, 0.00241]","[0.05126, 0.03751, 0.05817, 0.03775, 0.06139, 0.06592, 0.03541, 0.08997]","[1, 0, 1, 0, 1, 1, 0, 3]",7,8
2.5,15,"[0.00886, 0.00914, 0.00378, 0.00278, 0.00169, 0.00077, 0.00091, 0.0025, 0.00153, 0.00206, 0.00616, 0.00602, 0.00195, 0.00107, 0.00835, 0.00638, 0.00185, 0.0026, 0.0024, 0.00576, 0.00686]","[0.07839, 0.02417, 0.02031, 0.09011, 0.02349, 0.02098, 0.0295, 0.05423, 0.05832, 0.08539, 0.02765, 0.02376, 0.11529, 0.05096, 0.04978, 0.10158, 0.02686, 0.06246, 0.02562, 0.02236, 0.03932, 0.02849, 0.1082, 0.03737, 0.03753]","[0, 0, 1, 1, 1, 0, 0, 0, 2, 1, 0, 1, 3, 2, 1, 4, 0, 1, 0, 1, 1, 0, 0, 1, 0]",21,25
2.5,16,"[0.00323]","[0.02932, 0.04579]","[1, 0]",1,2
2.5,17,"[0.00105, 0.00315, 0.00078, 0.00117, 0.00126, 0.00226, 0.00661, 0.00576, 0.00959]","[0.04396, 0.027, 0.04015, 0.11683, 0.05727, 0.05596, 0.05362, 0.07538, 0.03093, 0.02425, 0.02288, 0.03025, 0.07589]","[0, 0, 0, 2, 2, 0, 0, 0, 0, 1, 0, 0, 4]",9,13
2.5,18,"[0.0008, 0.00982, 0.00227, 0.00417, 0.00123]","[0.04837, 0.03775, 0.07028, 0.04893, 0.06989, 0.06362, 0.04812, 0.04904, 0.02866]","[0, 1, 0, 0, 0, 2, 0, 2, 0]",5,9
