2.5,0,"[0.00849, 0.00721, 0.04066, 0.06404]","[0.21793]","[4]",4,1
2.5,1,"[0.0105, 0.02765, 0.00984, 0.02732, 0.06188, 0.01297]","[]","[]",6,0
2.5,2,"[0.05054, 0.07592, 0.01408, 0.01333, 0.0745, 0.06711, 0.09095]","[]","[]",7,0
2.5,3,"[0.00113, 0.00967, 0.04829, 0.05632, 0.05832, 0.05991, 0.0027, 0.02282, 0.0502, 0.00856, 0.01107, 0.02588, 0.09767, 0.00544, 0.03537, 0.04154]","[0.2657, 0.21137, 0.25188]","[7, 3, 6]",16,3
2.5,4,"[0.0197, 0.05748, 0.00214, 0.04399, 0.04383, 0.00939, 0.02119]","[]","[]",7,0
2.5,5,"[0.00016, 0.00035, 0.01413, 0.05814, 0.07717]","[]","[]",5,0
2.5,6,"[0.03111, 0.03535, 0.08135]","[]","[]",3,0
2.5,7,"[0.08779, 0.01107, 0.02588, 0.09767, 0.00544, 0.03537, 0.04154, 0.02282, 0.00856]","[0.23581, 0.21137, 0.24817]","[1, 6, 2]",9,3
2.5,8,"[0.00048, 0.01129, 0.00315, 0.02837, 0.00976, 0.08001, 0.09767, 0.08707, 0.09615, 0.0352, 0.03313]","[0.2047, 0.2347]","[2, 4]",11,2
2.5,9,"[0.04299, 0.02193, 0.08031, 0.05988, 0.00164, 0.06904, 0.09987, 0.01342]","[0.29808]","[7]",8,1
2.5,10,"[0.01461, 0.08695, 0.07745, 0.00164, 0.02737, 0.08254, 0.03728]","[]","[]",7,0
2.5,11,"[0.00033, 0.00739, 0.00805, 0.01249, 0.05012]","[]","[]",5,0
2.5,12,"[0.00735, 0.01606, 0.00352, 0.02864, 0.0958, 0.08133, 0.02914]","[]","[]",7,0
2.5,13,"[0.02807, 0.0789, 0.00282, 0.0016, 0.01492, 0.00075, 0.00549, 0.04555, 0.02383, 0.00973, 0.04781, 0.0509, 0.01143, 0.07604]","[0.23793]","[5]",14,1
2.5,14,"[0.00199, 0.00908, 0.0376, 0.01723, 0.01325, 0.0219, 0.01107, 0.02588, 0.09767, 0.00544, 0.03537, 0.04154, 0.02282, 0.0502, 0.00856]","[0.24314, 0.21137]","[6, 6]",15,2
2.5,15,"[0.00317, 0.05758, 0.0651, 0.07489, 0.06845, 0.0343, 0.02226, 0.00526, 0.01631, 0.06567]","[0.20936]","[10]",10,1
2.5,16,"[0.05279, 0.00521, 0.03964, 0.04395, 0.06623, 0.00206, 0.04997]","[]","[]",7,0
2.5,17,"[0.0368, 0.00491, 0.01647, 0.0045, 0.00165, 0.00179, 0.00184, 0.07505, 0.02588, 0.01229]","[0.20179]","[9]",10,1
2.5,18,"[0.03216, 0.00656, 0.01223, 0.00653, 0.0018, 0.02396, 0.06322, 0.06966]","[]","[]",8,0
2.5,19,"[0.01292, 0.04099, 0.09609, 0.08088, 0.00237, 0.06529]","[]","[]",6,0
2.5,20,"[0.03468, 0.00084, 0.00265, 0.00335, 0.00113, 0.00238, 0.00146, 0.08096, 0.00075, 0.00549, 0.04555, 0.02383, 0.00973, 0.04781, 0.0509, 0.01143, 0.07604]","[0.25094]","[8]",17,1
2.5,21,"[0.00245, 0.00791, 0.034, 0.03368, 0.03494, 0.00697, 0.07483, 0.02052, 0.00467, 0.01885, 0.08596, 0.01979, 0.02773, 0.02423, 0.01191]","[0.2324]","[15]",15,1
2.5,22,"[0.00047, 0.02103, 0.00078, 0.00121, 0.08219, 0.0023, 0.00075, 0.00549, 0.04555, 0.02383, 0.00973, 0.04781, 0.0509, 0.01143, 0.07604]","[0.23691]","[6]",15,1
2.5,23,"[0.0005, 0.01807, 0.03088, 0.00124, 0.02469, 0.02902, 0.05893, 0.0529]","[]","[]",8,0
2.5,24,"[0.01256, 0.0675, 0.00386, 0.03135, 0.03039, 0.04944, 0.09118, 0.03386]","[]","[]",8,0
2.5,25,"[0.00718, 0.06142, 0.05003, 0.01906, 0.06741, 0.00767, 0.01293]","[]","[]",7,0
2.5,26,"[0.00515, 0.04002, 0.00317, 0.03584, 0.00497, 0.02665, 0.07402, 0.00733, 0.01092, 0.084, 0.05608, 0.01422, 0.00755, 0.01905]","[]","[]",14,0
2.5,27,"[0.02613, 0.01827, 0.04096, 0.06262, 0.06016]","[]","[]",5,0
2.5,28,"[0.01289, 0.04156, 0.00164, 0.095]","[]","[]",4,0
2.5,29,"[0.01043, 0.00502, 0.02031, 0.04105, 0.00417, 0.01342, 0.02906, 0.01342]","[0.20149]","[7]",8,1
2.5,30,"[0.02915, 0.05195, 0.09893, 0.02186, 0.03092, 0.02171]","[]","[]",6,0
2.5,31,"[0.00906, 0.05119, 0.06956, 0.01342]","[0.31049]","[3]",4,1
2.5,32,"[0.00224, 0.0469, 0.0379, 0.00155, 0.07086]","[]","[]",5,0
2.5,33,"[0.00502, 0.02597, 0.00118, 0.00445, 0.00617, 0.00811, 0.01141, 0.00193, 0.05661]","[0.23385]","[9]",9,1
2.5,34,"[0.00394, 0.02724, 0.03066, 0.0486, 0.02881]","[]","[]",5,0
2.5,35,"[0.03043, 0.02725, 0.05688, 0.02113, 0.00974, 0.08159, 0.07904, 0.09358]","[0.26281, 0.25745]","[4, 4]",8,2
2.5,36,"[0.00897, 0.01218, 0.04163, 0.03482, 0.01102, 0.00635, 0.09271, 0.00339]","[]","[]",8,0
2.5,37,"[0.08496, 0.09762, 0.08148, 0.00174, 0.05211, 0.00207, 0.00848, 0.09583, 0.0114]","[]","[]",9,0
2.5,38,"[0.00029, 0.00029, 0.01888, 0.0009, 0.00708, 0.01908, 0.04504, 0.00211, 0.03223, 0.0028, 0.01203]","[]","[]",11,0
2.5,39,"[0.01196, 0.0437, 0.06951, 0.02345, 0.01766, 0.03133, 0.09914]","[]","[]",7,0
2.5,40,"[0.00058, 0.04951, 0.05074, 0.02447, 0.01199, 0.01356, 0.0772]","[]","[]",7,0
2.5,41,"[0.00538, 0.00159, 0.03316, 0.01535, 0.05118, 0.08777, 0.00401, 0.00974, 0.08159, 0.07904, 0.09358]","[0.23277, 0.25745]","[7, 4]",11,2
2.5,42,"[0.00933, 0.01471, 0.07218, 0.05737, 0.00803, 0.00199, 0.04112, 0.08707, 0.00273, 0.01244, 0.02238]","[0.25401, 0.23389]","[6, 2]",11,2
