2.5,0,"[0.00601, 0.04329, 0.00121, 0.03242, 0.07441, 0.00603, 0.00155, 0.00156, 0.06077, 0.04981, 0.00278, 0.00285, 0.00591, 0.00635, 0.05653, 0.00214, 0.0425]","[0.25587]","[14]",17,1
2.5,1,"[0.03475, 0.03827, 0.00801, 0.00932, 0.08082, 0.02909, 0.02713, 0.01973, 0.01845]","[0.24732]","[6]",9,1
2.5,2,"[0.00605, 0.00369, 0.00441, 0.0997, 0.07694, 0.08604, 0.04957, 0.05633, 0.01951, 0.00285, 0.00186, 0.00299, 0.07038, 0.03296, 0.07746, 0.01405, 0.03125, 0.00771, 0.00582, 0.07094, 0.02411, 0.04931]","[0.21592, 0.24781]","[2, 6]",22,2
2.5,3,"[0.00104, 0.03838, 0.00504, 0.01951, 0.00285, 0.00186, 0.00299, 0.07038, 0.03296, 0.07746, 0.01405, 0.03125, 0.00771, 0.00582, 0.07094, 0.02411, 0.04931]","[0.34844]","[3]",17,1
2.5,4,"[0.00834, 0.00238, 0.0015, 0.00172, 0.01378, 0.01215, 0.02836, 0.04313, 0.06624, 0.02371, 0.0085, 0.06052, 0.09546]","[]","[]",13,0
2.5,5,"[0.00443, 0.02624, 0.0056, 0.00783, 0.00108, 0.00256, 0.02686, 0.02265]","[0.21284]","[8]",8,1
2.5,6,"[0.00088, 0.0038, 0.03823, 0.00169, 0.01297, 0.02142, 0.06484, 0.06951]","[]","[]",8,0
2.5,7,"[0.04653, 0.03077, 0.04874, 0.01201, 0.07013, 0.01951, 0.00285, 0.00186, 0.00299, 0.07038, 0.03296, 0.07746, 0.01405, 0.03125, 0.00771, 0.00582, 0.07094, 0.02411, 0.04931]","[0.23437]","[5]",19,1
2.5,8,"[0.00137, 0.0204, 0.00212, 0.01617, 0.03041, 0.03301, 0.0119]","[]","[]",7,0
2.5,9,"[0.01951, 0.00285, 0.00186, 0.00299, 0.07038, 0.03296, 0.07746, 0.01405, 0.03125, 0.00771, 0.00582, 0.07094, 0.02411, 0.04931]","[0.28176]","[0]",14,1
2.5,10,"[0.00019, 0.00084, 0.00092, 0.00368, 0.01282, 0.08225, 0.00174, 0.0018, 0.01134, 0.00676, 0.06625, 0.09089, 0.07424, 0.0997, 0.08779, 0.00795, 0.01825, 0.0516]","[0.23302]","[8]",18,1
2.5,11,"[0.04107, 0.00774, 0.05985, 0.02725]","[]","[]",4,0
2.5,12,"[0.01883, 0.00078, 0.02906, 0.03065, 0.01586, 0.01117]","[]","[]",6,0
2.5,13,"[0.01699, 0.03834, 0.07007, 0.03731, 0.01, 0.02855, 0.0318]","[]","[]",7,0
2.5,14,"[0.00276, 0.00295, 0.00599, 0.00322, 0.00875, 0.03498, 0.05932, 0.00235, 0.06367, 0.00249, 0.08382]","[]","[]",11,0
2.5,15,"[0.0178, 0.04231, 0.07194, 0.01495, 0.05519, 0.00409, 0.00263, 0.01076]","[0.28162]","[6]",8,1
2.5,16,"[0.02216, 0.04212, 0.00527, 0.00395, 0.00132, 0.01915, 0.01492, 0.00068, 0.00762, 0.01169, 0.05152]","[0.31928]","[7]",11,1
2.5,17,"[0.08188, 0.06098, 0.00177, 0.01022, 0.01673, 0.02629, 0.0157, 0.00687, 0.01135, 0.06604]","[]","[]",10,0
2.5,18,"[0.02022, 0.0075, 0.05358, 0.01663, 0.02537, 0.08938, 0.09366, 0.04552, 0.03532, 0.09089, 0.08511, 0.01058, 0.00361, 0.0008, 0.00699, 0.09286]","[0.22011, 0.20174]","[7, 6]",16,2
2.5,19,"[0.06304, 0.00308, 0.07962, 0.07842, 0.04552, 0.03532, 0.09089, 0.08511, 0.01058, 0.00361, 0.0008, 0.00699, 0.09286]","[0.21401, 0.20174]","[4, 6]",13,2
2.5,20,"[0.0196]","[0.33435]","[0]",1,1
2.5,21,"[0.00851, 0.01588, 0.04207, 0.02168, 0.01251, 0.00167, 0.06608, 0.04795]","[]","[]",8,0
2.5,22,"[0.02332, 0.04772, 0.06282, 0.01665]","[]","[]",4,0
2.5,23,"[0.02343, 0.04584, 0.00872, 0.00149, 0.01709, 0.08497, 0.04889, 0.00197, 0.06963, 0.01217, 0.04623]","[0.25241]","[11]",11,1
2.5,24,"[0.0126, 0.01212, 0.06203, 0.05482, 0.05679, 0.04552, 0.03532, 0.09089, 0.08511, 0.01058, 0.00361, 0.0008, 0.00699, 0.09286]","[0.26483, 0.20174]","[5, 6]",14,2
2.5,25,"[0.03713, 0.07104, 0.08438, 0.01154]","[]","[]",4,0
2.5,26,"[0.05409, 0.06455, 0.02357, 0.00241, 0.01936, 0.08093]","[]","[]",6,0
2.5,27,"[0.02671, 0.00362, 0.02572, 0.0019, 0.09249]","[]","[]",5,0
2.5,28,"[0.00373, 0.02416, 0.02533, 0.07818, 0.05882, 0.06192, 0.03232]","[]","[]",7,0
2.5,29,"[0.00037, 0.02544, 0.04439, 0.01438, 0.06466, 0.01575, 0.09632]","[0.22189]","[7]",7,1
2.5,30,"[0.00086, 0.00097, 0.05354, 0.0489, 0.05517]","[]","[]",5,0
2.5,31,"[0.00061, 0.0018, 0.08133, 0.09476, 0.06159, 0.00196, 0.03505, 0.04476, 0.01814, 0.01161, 0.08656, 0.04522]","[]","[]",12,0
2.5,32,"[0.00952, 0.04287, 0.05274, 0.07221, 0.04779, 0.00178, 0.00187, 0.01081, 0.00271, 0.00275, 0.00869, 0.00303, 0.00318, 0.01963]","[]","[]",14,0
2.5,33,"[0.00134, 0.05064, 0.06155, 0.07785, 0.058, 0.04603, 0.02175, 0.0146]","[0.20619]","[7]",8,1
2.5,34,"[0.00051, 0.01951, 0.00285, 0.00186, 0.00299, 0.07038, 0.03296, 0.07746, 0.01405, 0.03125, 0.00771, 0.00582, 0.07094, 0.02411, 0.04931]","[0.28883]","[1]",15,1
2.5,35,"[0.01014, 0.00885, 0.03949, 0.00187, 0.0195, 0.00114, 0.07108, 0.07288, 0.01951, 0.00285, 0.00186, 0.00299, 0.07038, 0.03296, 0.07746, 0.01405, 0.03125, 0.00771, 0.00582, 0.07094, 0.02411, 0.04931]","[0.21965]","[8]",22,1
2.5,36,"[0.00712, 0.013, 0.01631, 0.00266, 0.01404, 0.04011, 0.02455, 0.00194, 0.0798, 0.03263]","[]","[]",10,0
2.5,37,"[0.00279, 0.01049, 0.04981, 0.00666, 0.00143, 0.00172]","[0.20478]","[6]",6,1
2.5,38,"[0.00329, 0.01474, 0.03763, 0.02965]","[]","[]",4,0
2.5,39,"[0.01891, 0.00654, 0.00667, 0.03405, 0.04853, 0.05863, 0.0818, 0.01457]","[]","[]",8,0
2.5,40,"[0.00064, 0.01484, 0.053, 0.00105, 0.02863, 0.02363, 0.06044, 0.09328, 0.00449, 0.03945]","[]","[]",10,0
2.5,41,"[0.00094, 0.00521, 0.03642, 0.03569, 0.08114, 0.00797, 0.00451, 0.083, 0.07483, 0.00572, 0.0983]","[]","[]",11,0
2.5,42,"[0.03114, 0.04076, 0.00295, 0.02641, 0.09653]","[]","[]",5,0
2.5,43,"[0.00078, 0.00387, 0.01465, 0.05286, 0.02742, 0.01526, 0.06085]","[]","[]",7,0
2.5,44,"[0.00126, 0.00389, 0.00319, 0.06426, 0.02037, 0.00313, 0.03948, 0.00888, 0.07283, 0.06813]","[0.25792]","[5]",10,1
2.5,45,"[0.01009, 0.05507, 0.00154, 0.00953, 0.00225, 0.01653, 0.06789, 0.0907, 0.0892]","[]","[]",9,0
2.5,46,"[0.00091, 0.00126, 0.09473, 0.02094, 0.0283, 0.02209, 0.00396, 0.08554, 0.09284, 0.00621, 0.04849, 0.01951, 0.00285, 0.00186, 0.00299, 0.07038, 0.03296, 0.07746, 0.01405, 0.03125, 0.00771, 0.00582, 0.07094, 0.02411]","[0.2192, 0.22392]","[4, 7]",24,2
2.5,47,"[0.00124, 0.02912, 0.03105, 0.04813, 0.03229, 0.02777, 0.00208, 0.00661, 0.039]","[]","[]",9,0
2.5,48,"[0.00502, 0.04713, 0.00443, 0.06808, 0.05637, 0.04326, 0.0033, 0.0196]","[0.29801]","[7]",8,1
2.5,49,"[0.01336, 0.00794, 0.02855, 0.06039, 0.00457, 0.00305, 0.05751, 0.00572, 0.09342, 0.01712]","[]","[]",10,0

