2.5,0,"[0.00278, 0.03475, 0.02596, 0.01566, 0.00497, 0.02454, 0.07893, 0.02171, 0.02871, 0.02068, 0.01052, 0.09071, 0.00524, 0.00224, 0.05067, 0.01758]","[0.22922]","[12]",16,1
2.5,1,"[0.00028, 0.0259, 0.03188, 0.00076, 0.00212, 0.00125, 0.01672, 0.00158, 0.04557, 0.04151, 0.00792, 0.04196, 0.00155, 0.07813, 0.01644]","[0.20311]","[10]",15,1
2.5,2,"[0.00857, 0.05781, 0.07875, 0.01518, 0.04393, 0.06474, 0.00187, 0.00377, 0.04242, 0.01543, 0.01355, 0.0148]","[]","[]",12,0
2.5,3,"[0.00136, 0.04163, 0.02991, 0.01432, 0.02069, 0.00968, 0.01717, 0.01865, 0.01003, 0.04636]","[0.22819, 0.24316]","[1, 4]",10,2
2.5,4,"[0.01162, 0.00169, 0.00182, 0.02002, 0.00968, 0.01717, 0.01865, 0.01003, 0.04636]","[0.27231]","[4]",9,1
2.5,5,"[0.02592, 0.00992, 0.01711, 0.09839, 0.02684, 0.02011, 0.04394, 0.06262]","[]","[]",8,0
2.5,6,"[0.0014, 0.00492, 0.00821, 0.01906, 0.00483, 0.03329, 0.00557, 0.00856, 0.08281, 0.00794, 0.01034, 0.00156, 0.00755, 0.00413, 0.00487, 0.06347, 0.04964]","[0.24293]","[9]",17,1
2.5,7,"[0.01206, 0.07578, 0.01863, 0.0384, 0.08356, 0.0753, 0.02818, 0.05931, 0.00687]","[0.2281]","[9]",9,1
2.5,8,"[0.01271, 0.01039, 0.03885, 0.06213, 0.01489, 0.00274, 0.02258]","[0.25131]","[6]",7,1
2.5,9,"[0.03717, 0.00104, 0.07644, 0.00148, 0.08916]","[]","[]",5,0
2.5,10,"[0.01467, 0.00889, 0.01464, 0.07126, 0.01801, 0.00894, 0.03137]","[]","[]",7,0
2.5,11,"[0.00404, 0.05183, 0.01039, 0.00531, 0.00645, 0.00454, 0.00561, 0.04945, 0.00739, 0.03159]","[0.21152]","[6]",10,1
2.5,12,"[0.00923, 0.05449, 0.00215, 0.0315, 0.08291, 0.00968, 0.01717, 0.01865, 0.01003, 0.04636]","[0.22402]","[5]",10,1
2.5,13,"[0.01278, 0.00742, 0.00392, 0.02779, 0.06678, 0.0152, 0.08476]","[0.25133]","[7]",7,1
2.5,14,"[0.0022, 0.00881, 0.08633, 0.04649, 0.00356, 0.02862, 0.04936]","[]","[]",7,0
2.5,15,"[0.05527, 0.03506, 0.02967, 0.07374, 0.06224]","[0.20986]","[5]",5,1
2.5,16,"[0.00319, 0.02851, 0.06393, 0.03468]","[]","[]",4,0
2.5,17,"[0.00511, 0.00419, 0.06468, 0.05876, 0.09528, 0.0521]","[]","[]",6,0
2.5,18,"[0.00536, 0.02448, 0.06101, 0.00704, 0.00152, 0.03966, 0.08313]","[]","[]",7,0
2.5,19,"[0.03645, 0.04645, 0.00129, 0.00427, 0.06368, 0.01052, 0.06425]","[]","[]",7,0
2.5,20,"[0.00086, 0.0122, 0.06952, 0.009, 0.00214, 0.01378, 0.09121, 0.00574, 0.08663, 0.01235, 0.00792, 0.04196, 0.00155, 0.07813, 0.01644]","[0.24585]","[10]",15,1
2.5,21,"[0.00909, 0.03217, 0.04194, 0.02535]","[]","[]",4,0
2.5,22,"[0.00152, 0.00475, 0.01911, 0.0386, 0.01153, 0.00331, 0.06164]","[]","[]",7,0
2.5,23,"[0.00082, 0.02579, 0.00664, 0.02715, 0.01505, 0.06848]","[0.20372]","[6]",6,1
2.5,24,"[0.06014, 0.07574, 0.03236, 0.0439, 0.07991]","[]","[]",5,0
2.5,25,"[0.00116, 0.02076, 0.01928, 0.04635]","[]","[]",4,0
2.5,26,"[0.01198, 0.05292, 0.00282, 0.02092, 0.00324, 0.0327, 0.00744, 0.00201, 0.02281]","[]","[]",9,0
2.5,27,"[0.00204, 0.06316, 0.02435, 0.01023, 0.06449, 0.00197, 0.02258]","[0.21673]","[6]",7,1
2.5,28,"[0.00055, 0.01869, 0.04391, 0.04451, 0.00706, 0.02013, 2e-05, 0.01309]","[0.28666]","[6]",8,1
2.5,29,"[0.0069, 0.07475, 0.00127, 0.06071, 0.0319, 0.03822, 0.00873, 0.00175, 0.00537, 0.01274, 0.00261]","[0.20232]","[11]",11,1
2.5,30,"[0.03031, 0.022, 0.00618, 0.00223, 0.00713, 0.00807]","[0.23826]","[5]",6,1
2.5,31,"[0.00179, 0.00252, 0.03465, 0.05744, 0.02307, 0.08191, 0.04921]","[]","[]",7,0
2.5,32,"[0.03623, 0.00553, 0.02252, 0.00139, 0.02519, 0.02562, 0.00162, 0.07909]","[0.23199]","[3]",8,1
2.5,33,"[0.00033, 0.00175, 0.00526, 0.01598, 0.00665, 0.00175, 0.0833, 0.06218]","[]","[]",8,0
2.5,34,"[0.00407, 0.05569, 0.06784, 0.00531, 0.03436, 0.06669]","[]","[]",6,0
2.5,35,"[0.08057, 0.00928, 0.02056, 0.01087, 0.01661, 0.06943]","[0.22599]","[6]",6,1
2.5,36,"[0.00385, 0.00106, 0.00107, 0.0013, 0.00395, 0.0422, 0.00895, 0.00199, 0.033, 0.0878]","[]","[]",10,0
2.5,37,"[0.03824, 0.08742, 0.01279, 0.04151, 0.01757, 0.06339, 0.00258, 0.0052, 0.08785]","[]","[]",9,0
2.5,38,"[0.02703, 0.08994, 0.0861]","[]","[]",3,0
2.5,39,"[0.00624, 0.02711, 0.01487, 0.00788, 0.00223, 0.0116, 0.01979]","[]","[]",7,0
2.5,40,"[0.00055, 0.00071, 0.0032, 0.00692, 0.05578, 0.07977, 0.04134, 0.084]","[]","[]",8,0
2.5,41,"[0.00382, 0.01603, 0.01657, 0.08133, 0.01602, 0.0033, 0.01072]","[]","[]",7,0
2.5,42,"[0.00296, 0.02381, 0.03281, 0.0434, 0.07577, 0.00351, 0.03925, 0.00394, 0.00204, 0.05091, 0.09635, 0.0867]","[]","[]",12,0
2.5,43,"[0.02846, 0.02, 0.00225, 0.01444, 0.02515]","[0.21445]","[3]",5,1
2.5,44,"[0.00304, 0.01843, 0.01037, 0.04659, 0.05098, 0.08233]","[]","[]",6,0
2.5,45,"[0.00068, 0.03435, 0.01415, 0.01782, 0.04747, 0.03259, 0.01996, 0.00427, 0.00524, 0.00224, 0.05067, 0.01758]","[0.22811]","[8]",12,1
2.5,46,"[0.01664, 0.006, 0.05482, 0.0458, 0.07643, 0.05136, 0.02804, 0.06209, 0.00566, 0.07948]","[]","[]",10,0
2.5,47,"[0.03135, 0.04176, 0.01346, 0.06364, 0.00172, 0.00874, 0.08429, 0.0018, 0.08709]","[]","[]",9,0
2.5,48,"[0.00697, 0.02299, 0.00528, 0.04383, 0.00723, 0.01301]","[]","[]",6,0
2.5,49,"[0.03846, 0.01381, 0.04277, 0.00965, 0.02403, 0.01976, 0.08208, 0.09137, 0.07067, 0.01003, 0.07678, 0.01087]","[]","[]",12,0

